1970Alabama                 01Geneva                                                   061                           Geneva                                                                                       21078      40     381    1344    1765     939    1223    2460    2827     458     341     183     879       4     512     589    1715     826     226    1187     145     129     523      23     942     465
1970Alabama                 01Greene                                                   063                           Greene                                                                                       10288       2     302     980     801     332     380     889     709     295     236      90     442      14     236     220     242     147      76     315      40       5     253       3     396      97
1970Alabama                 01Hale                                                     065                           Hale                                                                                         15419      13     482    1322    1101     509     579    1497    1284     300     250     124     568       8     349     389     738     191     118     373      52      57     397       0     594     181
1970Alabama                 01Henry                                                    067                           Henry                                                                                        12703       0     259     946     872     497     634    1636    1386     324     262      78     672      10     422     494     801     303      66     598      48      54     336       0     451     235
1970Alabama                 01Houston                                                  069                           Houston                                                                                      53902     145     853    2596    2648    1902    2536    5894    8288    2059    1443     594    1405      26    1774    1656    2829    1713     955    4024     852     496    1526     106    2530    1032
1970Alabama                 01Jackson                                                  071              2880         Jackson                                                                                      37921      61     600    2504    3106    1844    1970    4802    4288     856     475     181     874      83    1154    2250    3147     634     321    1552     193     247     471      49    1328     439
1970Alabama                 01Jefferson                                                073              1000         Jefferson                                                                                   610266    3858    6345   18651   25019   16285   27435   72091   95081   29358   21122   10571     984    2853   11601   42644   11330   18264   15254   35438   13378    6701   14479    1249   38717    9741
1970Alabama                 01Lamar                                                    075                           Lamar                                                                                        13825      19      92     539    1131    1040    1033    1986    1464     304     135     138     273       0     480     720    1632     214      69     584     107      37     136      14     425     207
1970Alabama                 01Lauderdale                                               077                           Lauderdale                                                                                   65832     209     535    2214    3742    2314    3748    7073    9759    2724    2009     862     634      17    1765    4129    2338    2190     773    3785     829     503    1422     118    3513     706
1970Alabama                 01Lawrence                                                 079                           Lawrence                                                                                     26332      31     331    1151    2192    1267    1498    2911    2967     479     208      93     778      43    1155    1324    1780     461     153     977     108      83     420       6     874     250
1970Alabama                 01Lee                                                      081              1000         Lee                                                                                          58651     462     639    2431    2399    1359    1627    4493    5770    2332    1875    2309     489      13    1024    1666    4841     832     474    3073     531     355    1773     154    5801     865
1970Alabama                 01Limestone                                                083              3440         Limestone                                                                                    40690      63     427    1996    2708    1497    1879    4332    5068    1347     892     363    1295      26    1161    1725    1922     904     406    2024     298     305     849      27    1869    1005
1970Alabama                 01Lowndes                                                  085                           Lowndes                                                                                      12571       0     284    1072     782     325     430    1073     878     262     222      53     453       5     496     316     228     155      78     411       5      47     302       0     422     189
1970Alabama                 01Macon                                                    087                           Macon                                                                                        23022     274     401    1597    1587     713     869    1889    1841     981    1017     673     263      17     506     319     473     223      71     609     117      57     565      10    2965     235
1970Alabama                 01Madison                                                  089              3440         Madison                                                                                     177164    2789    1031    4479    5644    2898    5360   12948   27164   11900   11736    4947    1468      19    2848   11711    3287    2438    2709    9030    2008    2821    3300     285   10493   11341
1970Alabama                 01Marengo                                                  091                           Marengo                                                                                      22754      29     744    1564    1311     574     887    2281    2450     712     513     196     565       6     376     819    1599     426     171     729     205      40     741      12     713     249
1970Alabama                 01Marion                                                   093                           Marion                                                                                       22835      30     280    1158    2100    1334    1513    2970    2773     443     354     130     302     158     485    1631    2414     456     140     858     145     115     352      24     782     209
1970Alabama                 01Marshall                                                 095              3440         Marshall                                                                                     52475      97     416    1956    3801    2308    3336    7193    6678    1700    1144     376    1220      63    1408    1950    4118    1023     739    2803     408     672     684      90    1966    1301
1970Alabama                 01Mobile                                                   097              5160         Mobile                                                                                      300970    1706    3314    9044   12575   10383   12703   34407   40937   11602    7411    3866    1748     286    7450    8732   13286    9240    5990   16059    4723    2784    6696     886   16686    4771
1970Alabama                 01Monroe                                                   099              5160         Monroe                                                                                       20169      18     453    1212    1176     856     992    2097    2246     530     436     130     511      10     533     982    1602     335     158     745     110      46     384       5     731     195
1970Alabama                 01Montgomery                                               101              5240         Montgomery                                                                                  159182    1023    1856    4996    6104    3596    4645   16123   25088    9576    6874    3739    1022     107    4094    3015    3378    3737    3260    9575    3253    1511    5470     363   10802    7047
1970Alabama                 01Morgan                                                   103                           Morgan                                                                                       74651     181     767    2387    3668    2292    3289    8825   11655    3269    2221    1065     868      35    2335    4841    3914    1520     848    3741    1063     563    1491     104    3550    1607
1970Alabama                 01Perry                                                    105                           Perry                                                                                        14823      34     394    1188    1161     495     664    1304    1221     350     325     190     608       5     341     381     632     159     105     640      86      33     323      10     768     165
1970Alabama                 01Pickens                                                  107                           Pickens                                                                                      19645      18     515    1106    1357     841     946    2419    2325     497     294     181     394       4     380    1528    1189     247     114     752     106      75     494      22     846     157
1970Alabama                 01Pike                                                     109                           Pike                                                                                         24001      49     424    1509    1562     747     875    2440    2840     863     486     360     750      33     912     641     974     417     329    1371     242     184     861      55    1724     369
1970Alabama                 01Randolph                                                 111              5240         Randolph                                                                                     17167      33     287     948    1478     981     948    2469    2080     328     287      84     299      19     468     626    2690     160     112     647     132      51     237      20     603     196
1970Alabama                 01Russell                                                  113              1800         Russell                                                                                      43342      98     948    3478    3114    1486    1877    4770    4412     742     355     287     412      31    1169    1190    3880     783     410    2266     528     297    1569      83    1291     878
1970Alabama                 01St Clair                                                 115              1800         St Clair                                                                                     26814      35     252    1379    1810    1306    1623    3626    3405     614     276     160     284      31     786    2168     965     622     236    1149     222     211     445      33     849     505
1970Alabama                 01Shelby                                                   117              1000         Shelby                                                                                       36172      46     467    1544    1989    1336    1744    4705    4525    1013     647     395     472     214    1227    2309    1547     857     452    1909     376     231     641      48    1726     366
1970Alabama                 01Sumter                                                   119                           Sumter                                                                                       16129       0     548    1301     987     454     617    1167    1345     595     311     243     445      47     268     481     418     325      71     603      81      46     394      14     851     139
1970Alabama                 01Talladega                                                121                           Talladega                                                                                    62965     123     805    3011    3926    2511    3102    7312    8070    1811    1125     474     481     297    1354    1773    7235    1001     328    2823     434     414    1355     175    2775    1112
1970Alabama                 01Tallapoosa                                               123              1000         Tallapoosa                                                                                   32138      16     504    1755    2000    1376    1929    4319    4169     895     529     259     236      47     729    1043    5770     361     130    1324     234     137     760      41    1264     443
1970Alabama                 01Tuscaloosa                                               125              8600         Tuscaloosa                                                                                  109646     514    2208    4126    5169    2671    3866   11159   13785    4784    3088    3027     348     406    2216    2893    5089    1601     977    5583    1287     756    2409     203   10904    1494
1970Alabama                 01Walker                                                   127              1000         Walker                                                                                       54213      52     656    3063    4223    2801    2853    7068    6388    1571     710     463     668    1400    1135    2497    1825    1715     749    2404     435     355     684      60    2030     506
1970Alabama                 01Washington                                               129                           Washington                                                                                   15775      30     312    1007    1061     492     799    1620    1693     220     164     110     291      55     346     873    1392     132      40     422      30      17     265       5     537      73
1970Alabama                 01Wilcox                                                   131                           Wilcox                                                                                       15848       6     448    1269     926     449     670    1328    1399     305     358      96     448       8     312     951     454     166      62     444      69      34     340       0     461     173
1970Alabama                 01Winston                                                  133              1000         Winston                                                                                      15660      10     141     865    1207     950     888    1773    1878     377     208      63     435      22     368    1986     636     267      69     618      72     101     121       0     430     115
1970Alaska                  02Aleutian Islands                                         010                           Aleutian Islands                                                                              7543     162      55     130     194      97     169     384    1036     369     203     156      46       0      86       5      77      44       0      87       6      26      32       0     107     246
1970Alaska                  02Anchorage                                                020                           Anchorage                                                                                   113714    3447     309     422     602     742    2827    7403   22769    9151    4839    3511     153    1040    3672     452     676    4246    1510    6411    1926    1343    1868     154    6920    6782
1970Alaska                  02Angoon                                                   030                           Angoon                                                                                         442       7       5      20      34      24      14      36      56      21       4       0       0       0       0       5       0       5       0       0       0       0       0       0      23      15
1970Alaska                  02Barrow                                                   040                           Barrow                                                                                        2545      19     138     171     185      75     132      84      85      32      10      37       0      49      15       0       4      65       0      48       7       4       9      12     222      43
1970Alaska                  02Bethel                                                   050                           Bethel                                                                                        7360       4     859     634     271     112     128     104     222      86      92     116      14       0      18       5      39      67      25     143      10       0      71       0     405     279
1970Alaska                  02Bristol Bay Borough                                      060                           Bristol Bay Borough                                                                            999      30      14      27       9      27      20      36     209      64      44      19       9       0       0       0       0      11       0      19       0       0       5       0      55      62
1970Alaska                  02Dillingham                                               070                           Bristol Bay Division                                                                          3477      18     234     290      92      63     110      68     173      87      66      53      10       0      10      19      13      81       0      77       0       0      21       0     235      53
1970Alaska                  02Cordova-McCarthy                                         080                           Cordova-Mc Carthy                                                                             1658      81       5      42      29      38      62     179     326     149      65      29     145       0     108       0      54      79       0      93      23       0      56       5      88      66
1970Alaska                  02Fairbanks North Star                                     090                           Fairbanks                                                                                    42060    1295     118     164     207     258    1000    2610    7490    2792    1324    1522      48     168    1277     150     159    1551     282    2101     415     336     545      44    2860    1699
1970Alaska                  02Haines                                                   100                           Haines                                                                                        1389     103      34      19       9      19     131     201     178      79      61      36       6       5      40     131       5      71       0      94       9      10      21      10      24      41
1970Alaska                  02Juneau                                                   110                           Juneau                                                                                       12721     384      68      70      84     120     357     810    2573    1166     810     699     162       4     598      53      86     500      54     657     183      98     287      45    1012    1972
1970Alaska                  02Kenai-Cook Inlet                                         120                           Kenai-Cook Inlet                                                                             13054     307      54     103     120     120     560    1182    2582     951     393     304     105     415     356     129     383     536      82     666     114     162     102      20     546     261
