1970Alabama                 01Greene                                                   063                           Greene                                                                                         228       0       0       0       0     199       7     869       4      38      84     209      74       0       9       0       0       0       0       3       0     690       0      21      73     193      16      20
1970Alabama                 01Hale                                                     065                           Hale                                                                                           332       0       0      13       0     209       5    1353      11      94     143     272     166      18      29       0       0       0       0       4       0    1106       0      40      81     303      62      22
1970Alabama                 01Henry                                                    067                           Henry                                                                                          227       0       0       3       0     390      14    1639      29     161      66     241     275       3      13       0       0       0       0      13       0    1294       5      80      57     194      58      23
1970Alabama                 01Houston                                                  069                           Houston                                                                                        581       8       0       0       0     723      29    9357     244     599     184     787    1083      25      89       5       0       0       0      34       4    6722      61     245     191     911     252     102
1970Alabama                 01Jackson                                                  071              2880         Jackson                                                                                        284       9       5       0       0     532      22    6123     162     566     219     380     504      27      34       3       0       0       0      17      11    3312      25     222     121     672     125      53
1970Alabama                 01Jefferson                                                073              1000         Jefferson                                                                                      658      20      14       5      34     408      34  119156    2977    4398    3374    7618    8870     197     193       0       5       0       0      50      26   69993     590    3177    3408    9032    2899     707
1970Alabama                 01Lamar                                                    075                           Lamar                                                                                          142       5       0       0       0     138      12    2108      38      95      91     209     349       0       0       0       0       0       0       0       0    1727       6      25     108     176     107      11
1970Alabama                 01Lauderdale                                               077                           Lauderdale                                                                                     290      12      24       3       0     294      38   10677     193    2024     437     748    1097       6       6       0       0       0       0       5       0    5793      39     279     333    1037     353     130
1970Alabama                 01Lawrence                                                 079                           Lawrence                                                                                       341       0       0       0       0     322       6    4144      41     349     280     337     247       5      63       0       0       6       6      27       6    1948      15      62     116     371     164      32
1970Alabama                 01Lee                                                      081              1000         Lee                                                                                            237       0       0      50       5     192      10    8298      95     512    2172     680     830      28      26       0       0       0       0      10      10    6556      31     345    1581     954     240      93
1970Alabama                 01Limestone                                                083              3440         Limestone                                                                                      743      32       9      10       0     456      14    5573      81    1424     174     676     623       6     101       0       0       0       0       6       0    3314       4     318     133     675     203      78
1970Alabama                 01Lowndes                                                  085                           Lowndes                                                                                        220       0       5       0       0     194       0    1198      12      87      85     182     143       0      21       0       0       0       0      10       0     719       0      77     121     150      43      31
1970Alabama                 01Macon                                                    087                           Macon                                                                                          153       0       0       6       0      95       0    2221      34     669     184     339     305       0      33       0       0       0       0       5       0    1884       4     447     193     438      83      26
1970Alabama                 01Madison                                                  089              3440         Madison                                                                                        786      20       5      15      12     671      25   24715     448   10891     868    2236    2148      28      66       0       0       0       0      23       5   15921      72    3446     816    3086     943     152
1970Alabama                 01Marengo                                                  091                           Marengo                                                                                        350       0       0       5       0     187       9    3079      56      97      91     305     377       0      22       0       0       0       0      28       5    1918      16      60      67     496     132      22
1970Alabama                 01Marion                                                   093                           Marion                                                                                          76       0       0       0       0     194       0    3678      42      99     245     260     556       0      19       0       0       0       0      12       6    2786       4      77      74     281     124      49
1970Alabama                 01Marshall                                                 095              3440         Marshall                                                                                       322       0       0       0       4     726       4    7615     165    1307     274     791    1318       4     122       0       0       0       0      64       8    4944      37     315     113     746     290      85
1970Alabama                 01Mobile                                                   097              5160         Mobile                                                                                         691      20      10      15       7     484      16   51026    1288    2864    2555    4171    4688      99     281       0       0      10       0      49      29   28742     204    1114    1561    4509    1390     368
1970Alabama                 01Monroe                                                   099              5160         Monroe                                                                                         173       0       0       6       0     272      26    2885      16      57     138     424     318      16       3       0       0       0       0      11       0    1951       5      56      78     348      87      30
1970Alabama                 01Montgomery                                               101              5240         Montgomery                                                                                     707       9      19      20       0     390      12   22567     871    3009    2566    2132    2452      24      52       0       0       0       0      24       0   18159     190    2075    2610    2378     722     146
1970Alabama                 01Morgan                                                   103                           Morgan                                                                                         298       0      13       0       0     463      17   13395     263    1531     383     801    1128      29     105       0       0       0       0      40      21    6617      91     552     223    1143     469      88
1970Alabama                 01Perry                                                    105                           Perry                                                                                          285       0       0       0       0     286       6    1546      28      93     128     206     196       9      25       0       0       0       0      16       4    1397       0      49      71     194      50      25
1970Alabama                 01Pickens                                                  107                           Pickens                                                                                        202       7       0      19       4     120      18    2924      30     122     154     218     294      12      34       0       0       0       0       0      18    2175       0      40     117     230      84      18
1970Alabama                 01Pike                                                     109                           Pike                                                                                           301      11       0       4       0     376      11    3084      19     171     770     307     449       6      45       0       0       0       0       5       7    2507       5     136     492     442     121      34
1970Alabama                 01Randolph                                                 111              5240         Randolph                                                                                        97       0       0       0       0     170       0    2729       5     111     195     180     529       0      39       0       0       0       0       0       0    2243       7      60     106     243     108      26
1970Alabama                 01Russell                                                  113              1800         Russell                                                                                        183       0      19       0       7     192       0    7370      48     587      93     575     619       0      25       0       0       0       0      34      19    5115      25     269     106     450     180      35
1970Alabama                 01St Clair                                                 115              1800         St Clair                                                                                        94       0       0       0       4     147       6    4534      72     326     167     361     547       5      37       0       0       0       0       6       6    2101       5      72     128     331     146      55
1970Alabama                 01Shelby                                                   117              1000         Shelby                                                                                         280       6       0       0      13     110       5    6913      82     155     298     361     547      14      71       0       0       0       0      27       0    3243      30     129     354     511     143      32
1970Alabama                 01Sumter                                                   119                           Sumter                                                                                         162      15       0       0       0     245       9    1696      59      47     291     206     205       5      25       0       0       0       0       7       0     984      21      72     178     229     104      35
1970Alabama                 01Talladega                                                121                           Talladega                                                                                      230       0       0       0       0     191       8   10912     111     608     400     632     969      27      23       0       0       5       0      11       3    6452      36     224     570     883     289      79
1970Alabama                 01Tallapoosa                                               123              1000         Tallapoosa                                                                                     116       0       0       0       0      87      10    6360      55     157     187     387     535       7      18       0       0       0       0       4       5    4772       7     120      81     320     129      24
1970Alabama                 01Tuscaloosa                                               125              8600         Tuscaloosa                                                                                     190       0       4      10       0     129      18   16052     271    1018    3385    1206    1432      26      22       0       0       0       0      12       0    9549      52     631    3018    1736     473      80
