198036Alabama                 015240Elmore                                                   051                                   ELMORE                                                          35122     7726      285      257     5725     4860     9169     2722     2567      229     9673      492     5244       21     6912      464     8850      758     1562     2101     1539      539      742      837     2190      824      518      448     1054     1090      499     1884
198036Alabama                 01    Escambia                                                 053                                   ESCAMBIA                                                        31007     7142       75      216     6533     4309     7230     2365     1586       41     8210      624     4870        0     5201      799     8417      824     1044     2503     1332      383      327      531     1938      419      349      540      812     1050      288     1071
198036Alabama                 012880Etowah                                                   055                                   ETOWAH                                                          88172    14149      193      543    15896    11946    20344     8053     5491       79    23394     1791    10450       11    15195     1653    24325      568     2179     6440     6490     1338     1119     1269     6258     1498     1103     1360     2964     2839     1201     1963
198036Alabama                 01    Fayette                                                  057                                   FAYETTE                                                         16640     2060        0      109     3930     2410     3322      756      820        0     4411      273     1957        0     3026      241     4068      651      482     2000     1355      157      161      123      837      108      152      191      337      606       93      184
198036Alabama                 01    Franklin                                                 059                                   FRANKLIN                                                        23425     4833       13       79     5399     4032     5062     1651     1029        0     6443      665     3016        0     4349      464     6469      353      794     1879     2494      219      264      244     1306      389      235      238      714      799      205      659
198036Alabama                 01    Geneva                                                   061                                   GENEVA                                                          19449     4600       62      142     5008     2808     4500     1296      861       77     5622      231     2616       47     3784      293     5312      864      575     2198      814      466      218      633     1151      235      252      368      387      561      207      477
198036Alabama                 01    Greene                                                   063                                   GREENE                                                          10059      905       11       46     2413     1075     1281      478      558       12     1632      254     1427        0     1326      248     2701      225      264      347      159       99       51       64      414       76       33      279      187      453      113      194
198036Alabama                 01    Hale                                                     065                                   HALE                                                            14545      932       14      113     3605     1602     2007      646      564       11     2741      351     1914        0     2000      239     3800      420      304      847      404      138      160      349      496      121       75      251      341      605       83      147
198036Alabama                 01    Henry                                                    067                                   HENRY                                                           13038     2164       27       73     3114     1937     2379      804      779       10     3403      153     1571        0     2297      215     3560      561      440     1128      667      204      243      187      745      152      152      166      256      531       88      180
198036Alabama                 01    Houston                                                  069                                   HOUSTON                                                         54270    19103      326      933    10678     7166    13980     5521     5435      194    18457      704     5947       21    13038      855    15200     1230     2677     3667     3204     1399     1538     1737     5709     1545     1155     1334     2124     1829      998     1349
198036Alabama                 01    Jackson                                                  071                                   JACKSON                                                         38392    12685      113      217     9810     5613     9042     3094     1996       16    12432     1095     4433       19     7716      840    10829      786     1486     4772     2989      433     1535      534     2377      576      454      482      861     1213      428     1222
198036Alabama                 011000Jefferson                                                073                                   JEFFERSON                                                      549549   113215     1747     6813    71909    69622   132921    63342    63229      377   159661    11225    62244       46   122125     8887   147038     6292    15543    12313    39177    12769    14518    17319    45101    20977    10989    12360    27727    20991    13321    12389
198036Alabama                 01    Lamar                                                    075                                   LAMAR                                                           12780     3582       33       58     3622     1961     2988      640      580       28     3845      258     1684        0     2697      163     3466      220      391     1511     1695      277      154      155      619      182      112      167      398      361      123      177
198036Alabama                 012650Lauderdale                                               077                                   LAUDERDALE                                                      60711    19157      156      522    11742     7924    15561     5109     6044       43    19682     1684     7139       13    12772     1280    18167      826     2203     3106     5419      762     1289      908     5372     1326      836     1265     2376     2508     1006     3252
198036Alabama                 01    Lawrence                                                 079                                   LAWRENCE                                                        27131     2864       32      143     5578     3936     5396     1101      665       12     6450      785     3126        0     3882      457     6754      791      930     2670     1693      131      253      245      987      296      295      250      522      590      220      459
198036Alabama                 01    Lee                                                      081                                   LEE                                                             50464    24043      479     1297     8267     5354     9860     4712     7777      243    17497      968    10900       33    13277     1053    15591      777     1594     4995     2913      650      707      657     5173     1024      897     1169     1399     6554     1006     1259
198036Alabama                 013440Limestone                                                083                                   LIMESTONE                                                       37806     7929       62      208     7887     4950     8272     2648     2277      101    10670     1016     4269       53     7015      683     9740      919     1280     2869     3148      328      449      721     2311      459      547      699      757     1213      363     1622
198036Alabama                 01    Lowndes                                                  085                                   LOWNDES                                                         12524      631       23       75     2421     1208     1722      531      430       21     2107      302     1502        0     1648      210     2916      453      510      430      348      139       65      178      455       95      122      163      124      332      104      237
198036Alabama                 01    Macon                                                    087                                   MACON                                                           21302     4966      137      424     4038     2342     3172     1871     2526       40     4117      420     4644        0     3847      551     6280      344      391      553      487      100      178      116      881      206      125      362     1552     1864      249      556
198036Alabama                 013440Madison                                                  089                                   MADISON                                                        119774    69173     1974     6045    18244    14655    34718    18930    23506     4138    47306     3566    15805      564    35780     3562    36334     1529     4249     4384    13794     1494     2063     2384    13330     3558     5075     3145     5087     7647     4076    11271
198036Alabama                 01    Marengo                                                  091                                   MARENGO                                                         22339     2579       22      107     4280     2847     4241     1181     1207       31     4972      349     2883        0     3447      225     5831      387      404     1965     1188      199      411      398     1018      256      125      399      471      670      152      376
198036Alabama                 01    Marion                                                   093                                   MARION                                                          24602     5264       51      124     6051     4296     5194     1298     1085       16     6907      642     3110        0     5032      395     6243      806      496     2962     2656      358      317      374     1357      281      200      314      538      599      264      417
198036Alabama                 013440Marshall                                                 095                                   MARSHALL                                                        54935    10182      207      298    11474     8039    11947     4260     3377      135    15421     1165     6640       43    10449      968    14391     1096     1654     4669     3790      630      746     1067     4793      863      860      772     1226     1618      439     1647
198036Alabama                 015160Mobile                                                   097                                   MOBILE                                                         266673    91565     1459     5283    39220    37826    69871    29075    24926     1469    85405     5519    31597      136    57420     5381    77971     3304    13549    15618    12898     7038     4362     7460    23952     8098     5479     6231    11153    10866     5993     6824
198036Alabama                 01    Monroe                                                   099                                   MONROE                                                          20515     2040       25       71     3870     2209     4060     1107     1068        2     4654      380     2324        9     3155      299     4889      370      580     1934     1016      185      159      143     1089      256      123      304      435      735      191      289
198036Alabama                 015240Montgomery                                               101                                   MONTGOMERY                                                     148199    45089     1314     2436    19510    17031    34341    17210    21989     3791    42516     2663    17268      556    36995     2958    38193     1407     5438     4085     5255     2538     2247     3835    13980     5320     2923     4445     6214     7511     4172    10141
198036Alabama                 01    Morgan                                                   103                                   MORGAN                                                          71241    18158      222      610    11481     9470    18311     6843     6164       94    22463     1670     7421       37    14535     1571    18500      886     2548     5260     6547      950     1214     1515     5584     1828     1128     1136     2878     2194     1216     2114
198036Alabama                 01    Perry                                                    105                                   PERRY                                                           13703     1208       11       90     3104     1364     2016      612      762       37     2583      225     1890        0     2039      155     3591      393      277      652      558      116       59      232      540      135       97      217      233      759       80      274
198036Alabama                 01    Pickens                                                  107                                   PICKENS                                                         18673     2726       37       45     4281     2519     3616      850      844        2     4311      331     2593        1     2950      479     4820      522      492     1383     1480      175      218      275      777      146      175      220      402      528      226      242
198036Alabama                 01    Pike                                                     109                                   PIKE                                                            23776     4053       75      146     4904     2948     3979     1412     1690       70     5897      378     3446        6     4889      417     6264      530      933     1762      847      430      214      507     1626      372      174      455      564     1476      371      525
198036Alabama                 01    Randolph                                                 111                                   RANDOLPH                                                        16379     3562       53       81     4369     2596     3192      832      858       20     4130      319     2371        0     3191      466     4292      281      436     2540     1142      131      176      199      771      170      100      177      428      433      141      196
198036Alabama                 011800Russell                                                  113                                   RUSSELL                                                         31588    15123      241      404     9598     5716     7656     2284     1536      248    10054      903     4818       35     7601      886    10153      421     1284     4435     1575      589      611      678     2294      852      509      845     1154     1026      457      925
198036Alabama                 011000St Clair                                                 115                                   ST. CLAIR                                                       34961     5978       65      201     6912     4929     7947     2335     1519       23     9997      623     3743       10     5834      576     9032      451     1443     1524     3686      839      516      692     2032      769      552      381      858      801      462      825
198036Alabama                 011000Shelby                                                   117                                   SHELBY                                                          50392    14932      229      745     7346     6127    11735     5204     6564       40    17295      922     4999        9    10602      764    13238      802     2278     1539     4642      855     2240     1753     4081     2111     1076      736     1713     2167      911      993
198036Alabama                 01    Sumter                                                   119                                   SUMTER                                                          13992     2768        2      146     3038     1537     2314      814      843        8     2928      338     2222        0     2302      299     3783      290      247      790      928      189      120      131      583      192       36      316      393      578      184      253
198036Alabama                 01    Talladega                                                121                                   TALLADEGA                                                       65228     8232      126      240    12151     8473    12765     4004     3154      117    15827     1261     7287      125    10928     1398    15505      777     1487     7204     3020      762      858      601     3361      816      572      939     1460     2441      907     1550
198036Alabama                 01    Tallapoosa                                               123                                   TALLAPOOSA                                                      34624     3668       68      316     7121     4746     6899     2289     1904       32     8808      433     4032        6     7408      503     7255      261      767     6773     1362      306      304      371     1708      505      256      577      969      998      387      672
198036Alabama                 018600Tuscaloosa                                               125                                   TUSCALOOSA                                                     111497    24178      547     1319    16366    13067    22955     9058    12237      154    30249     2307    17436        0    23387     2203    29148     2213     3657     5275     3752     1641     1502     1486     8253     2077     1362     2418     7203     8201     2240     2356
198036Alabama                 011000Walker                                                   127                                   WALKER                                                          59724     8558       93      285    13460     8410    12652     3136     2564       19    15489     1198     7190        6     8010      985    17633     4359     1628     1744     2716     1041     1457      886     3396      682      805      592     1344     1603      586      660
198036Alabama                 01    Washington                                               129                                   WASHINGTON                                                      14307     2400       41       73     3040     1763     3036      643      489       11     3746      296     1581        0     1880      315     3871      267      455     1822      630      225      170      156      516      105       89      144      323      405      119      200
198036Alabama                 01    Wilcox                                                   131                                   WILCOX                                                          13716      959       18       62     3055     1368     1852      582      717       12     2168      257     2077        5     1632      151     3541      234      234      628      680      120       82       94      390      103      107      176      225      460      130      137
198036Alabama                 01    Winston                                                  133                                   WINSTON                                                         18328     3534       43       48     4669     2721     3837     1041      675        0     5171      437     2150        0     3248      290     4894      734      452      975     2504      411      189      318      830      195      144      191      467      605      105      299
198049Alaska                  02    Aleutian Islands                                         010                                   ALEUTIAN ISLANDS                                                 2148     4876      160      584      511      346     1544      769      574     1845     1511       82      465      338      921       91      779      235       63      747       26      130       39        8      212       23       33       84       40      276       17      499
198049Alaska                  020380Anchorage                                                020                                   ANCHORAGE                                                       38729   124463     2534     8705     3880     6959    36870    23327    21984     9620    42534     4561     8924     1294    35220     2458    21444     3627     6146     1410     1040     6309     2994     2775    12606     5942     3577     3787     4223     5941     5581    11796
198049Alaska                  02    Bethel                                                   050                                   BETHEL                                                           9144     1704       32      119     2290      315     1059      487      661       54     1774      281     1661        0     1239      110     1865       27      190       44       28      199       69        9      308       15       55       73      332      883      188      593
198049Alaska                  02    Bristol Bay Borough                                      060                                   BRISTOL BAY                                                       442      615        0       37       56       53      261      132       99      323      173       21       98       20      109       21      120       35        3       11        0       27       15        0       39        2        2        5        8       46        7       82
198049Alaska                  02    Dillingham                                               070                                   DILLINGHAM                                                       3573      972        5       66      802      127      615      240      345        1      721      156      709        0      587      112      777       96       81       71        7       92       41        4       89       44       12       34      104      430       54      149
198049Alaska                  02    Fairbanks North Star                                     090                                   FAIRBANKS NORTH STAR                                            12822    38342      800     2019     1397     2365    11660     6475     6165     4648    11802     1757     3125      511     9009      976     7188      662     1926      417      337     1647      854      442     3635      787      913      973     1197     2930     1189     2902
198049Alaska                  02    Haines                                                   100                                   HAINES                                                            463     1150       11       56       88      124      375      183      190        0      452       40      131        0      279       21      291       42       80       26       73       49       12        2      155       14       21       29       13       71       46       98
198049Alaska                  02    Juneau                                                   110                                   JUNEAU                                                           6476    12074      205      773      469      529     3819     2604     3808      182     5636      506      977        0     4724      263     2048      418      678      133       76      427      336       91     1187      362      390      446      408      705      673     4030
198049Alaska                  02    Kenai Peninsula                                          122                                   KENAI PENINSULA                                                  7034    17249      167      832     1041     1418     6004     3015     2216       74     6147      844     2332        0     3475      661     4110     1477      868      704      290      504      305      294     1472      390      405      376      437     1050      315      735
198049Alaska                  02    Ketchikan Gateway                                        130                                   KETCHIKAN GATEWAY                                                3948     6923       37      408      479      649     2705     1393     1127      213     3311      156      696        0     2099      130     1657      348      354      651      408      541      159       78      957      135      106      189      243      380      259      602
198049Alaska                  02    Kobuk                                                    140                                   KOBUK                                                            4155      651        5       20      872      203      517      206      279       40      605      257      738        5      601       80      727       24       50        4        1       90       54        2      137       15        8       52       65      388       66      250
198049Alaska                  02    Kodiak Island                                            150                                   KODIAK ISLAND                                                    3392     5647       78      822      578      553     2013     1154      926      654     2680      200      617       11     1685      142     1217      578      197      912       93      217      135       29      605       74      101      125      162      422      162      553
198049Alaska                  02    Matanuska-Susitna                                        170                                   MATANUSKA-SUSITNA                                                5213    12119      139      345      687     1104     3892     2243     1708       51     4005      760     1530        6     2472      313     3018      507      645       90      177      490      350      135     1067      259      226      248      255      780      415      833
198049Alaska                  02    Nome                                                     180                                   NOME                                                             5353     1123       13       48     1112      281      843      402      420       43     1000      300     1017        0      831       82     1020       59       89       24       21      140       68       10      217       13       68       81      136      475       81      349
198049Alaska                  02    North Slope                                              185                                   NORTH SLOPE                                                      3175      869       34      121      700      201      567      339      261      122     1155       99      356       35      579       41      534      106      388       13       11       92      111       24      111       62       37       67       63      349       39      261
198049Alaska                  02    Prince Of Wales-Outer Ketchikan                          201                                   PRINCE OF WALES-OUTER KETCHIKAN                                  1796     1931       42       53      232      374      816      342      197        0     1100       97      320        0      516       38      574      138      120       53      551       74       50       12       94        8       18       39       25      209       36      189
198049Alaska                  02    Sitka                                                    220                                   SITKA                                                            3177     4286       14      326      348      430     1574      900      874      193     2105      202      481       29     1521       55      922      328      230      503      200      224       61       18      398       46       98      134      344      393      180      469
198049Alaska                  02    Skagway-Yakutat-Angoon                                   231                                   SKAGWAY-YAKUTAT-ANGOON                                           1953     1451       25       49      227      318      771      282      275        5      803      159      365        0      491      100      492       75       55       46       74      239       43       28      146       24       34       52       37      211       36      194
198049Alaska                  02    Southeast Fairbanks                                      240                                   SOUTHEAST FAIRBANKS                                              1293     3982      175      226      321      245     1274      512      425      780      881      216      341       88      638      147      795       89      135        6        9       72        7        5      308       23       32       79       32      256       59      407
198049Alaska                  02    Valdez-Cordova                                           261                                   VALDEZ-CORDOVA                                                   2515     5532       40      261      511      412     1910     1121      733      158     2299      230      770        4     1402      108     1137      356      459      179       86      348      162       94      414       51       95      187      271      358      123      518
198049Alaska                  02    Wade Hampton                                             270                                   WADE HAMPTON                                                     4400      240        0       25     1093      129      368      135      143       19      532      204      721       17      432       75      782       26       69       18        0       62       28        5      156        4       16       42       27      349       24      138
198049Alaska                  02    Wrangell-Petersburg                                      280                                   WRANGELL-PETERSBURG                                              2604     3324       19      220      309      475     1277      759      605       15     1777      188      436        0     1023       94      898      438      165      279      431      165       54       23      380       73       46       68      113      259       75      231
198049Alaska                  02    Yukon-Koyukuk                                            290                                   YUKON-KOYUKUK                                                    4756     2968       48      101     1010      318     1446      702      539      567     1178      266     1229       38      840      105     1234      126      136       20       49      167      138       12      177       18       53       42      102      539       65      374
198048Arizona                 04    Apache                                                   001                                   APACHE                                                          39182    12161      173      592     8726     2568     5549     3113     2319       40     7521     1352     6255        0     5981      588     9745      964     1266      120      447      264      903       81     1409      253      193      313      797     3413      397     2682
198048Arizona                 04    Cochise                                                  003                                   COCHISE                                                         25832    47508     2851     9495     9252     5753    16715     9726     6650     5210    15721     1637     8091      735    11762     1437    17320     2017     1993     1096     1308      646     1017      604     4828     1199     1016     1379     1338     3065      971     5006
198048Arizona                 04    Coconino                                                 005                                   COCONINO                                                        38887    34078      370     1673     5554     3264    10457     7158     8002        6    17352     1569     7515        6    13076      984    12702     1189     1876      915     1195      919     1667      610     6869      885      795     2247     1572     5400     1157     3132
198048Arizona                 04    Gila                                                     007                                   GILA                                                            20836    15109      119     1016     4086     4221     8304     3367     1694        0     8020      525     4370        0     4322      419     8921     3236     1219      189      823      237      300      112     2053      346      277      507      705     1052      359      927
198048Arizona                 04    Graham                                                   009                                   GRAHAM                                                          13619     8345      129      769     2730     1919     3820     2139     1176        5     4697      256     3219        0     2606      186     4790     1453      570      117      139      174      107      163     1353      271      170      288      431      895      167     1005
